gbifID	type	format	identifier	references	title	description	source	audience	created	creator	contributor	publisher	license	rightsHolder
1318664744	StillImage	image/jpeg	http://n2t.net/ark:/65665/m39237cdc7-b345-4ce4-b465-db1f939e5463		00896821.tif	Barcode 00896821	US National Herbarium, Department of Botany, NMNH, Smithsonian Institution			Conveyor Belt		Smithsonian Institution, NMNH, Botany	http://creativecommons.org/publicdomain/zero/1.0/	
1318599776	StillImage	image/jpeg	http://n2t.net/ark:/65665/m3606409c0-0e49-4d30-b291-86931205910c		00897713.tif	Barcode 00897713	US National Herbarium, Department of Botany, NMNH, Smithsonian Institution			Conveyor Belt		Smithsonian Institution, NMNH, Botany	http://creativecommons.org/publicdomain/zero/1.0/	
1318528177	StillImage	image/jpeg	http://n2t.net/ark:/65665/m338005c9f-8960-49fa-971f-faa72264ce84		00896595.tif	Barcode 00896595	US National Herbarium, Department of Botany, NMNH, Smithsonian Institution			Conveyor Belt		Smithsonian Institution, NMNH, Botany	http://creativecommons.org/publicdomain/zero/1.0/	
1318526784	StillImage	image/jpeg	http://n2t.net/ark:/65665/m39220f3aa-00c5-4695-b4a5-333ad37ceb99		00897757.tif	Barcode 00897757	US National Herbarium, Department of Botany, NMNH, Smithsonian Institution			Conveyor Belt		Smithsonian Institution, NMNH, Botany	http://creativecommons.org/publicdomain/zero/1.0/	
1318504649	StillImage	image/jpeg	http://n2t.net/ark:/65665/m3b4f4029e-a776-4024-93f9-e33a200ddc2c		00897925.tif	Barcode 00897925	US National Herbarium, Department of Botany, NMNH, Smithsonian Institution			Conveyor Belt		Smithsonian Institution, NMNH, Botany	http://creativecommons.org/publicdomain/zero/1.0/	
1318476394	StillImage	image/jpeg	http://n2t.net/ark:/65665/m35dd02fef-01c5-4cc8-b95e-53c9298f8e8c		00896716.tif	Barcode 00896716	US National Herbarium, Department of Botany, NMNH, Smithsonian Institution			Conveyor Belt		Smithsonian Institution, NMNH, Botany	http://creativecommons.org/publicdomain/zero/1.0/	
1318462267	StillImage	image/jpeg	http://n2t.net/ark:/65665/m3ea80b70f-eb98-4b9e-99da-8c839ffd5161		00898105.tif	Barcode 00898105	US National Herbarium, Department of Botany, NMNH, Smithsonian Institution			Conveyor Belt		Smithsonian Institution, NMNH, Botany	http://creativecommons.org/publicdomain/zero/1.0/	
1318460803	StillImage	image/jpeg	http://n2t.net/ark:/65665/m336baf8ca-b709-40f2-a730-71c0913270aa		00897612.tif	Barcode 00897612	US National Herbarium, Department of Botany, NMNH, Smithsonian Institution			Conveyor Belt		Smithsonian Institution, NMNH, Botany	http://creativecommons.org/publicdomain/zero/1.0/	
1318445839	StillImage	image/jpeg	http://n2t.net/ark:/65665/m3fa540310-b1fe-45f4-9922-724e9c465e8c		00896734.tif	Barcode 00896734	US National Herbarium, Department of Botany, NMNH, Smithsonian Institution			Conveyor Belt		Smithsonian Institution, NMNH, Botany	http://creativecommons.org/publicdomain/zero/1.0/	
1318429870	StillImage	image/jpeg	http://n2t.net/ark:/65665/m342240f59-3528-4a94-b2bc-4d914e38b1d5		00089562.tif	US National Herbarium specimen, barcode 00089562	Specimen from Department of Botany, NMNH, Smithsonian Institution			Ingrid P. Lin		Smithsonian Institution, NMNH, Botany	http://creativecommons.org/publicdomain/zero/1.0/	
